"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5045","Simple Droppable","chromium","Tue Feb 10 10:21:38 UTC 2026","passed","Tue Feb 10 10:21:43 UTC 2026","Test Suite : Droppable","interactions/droppable.spec.js","",""
"","1973","Radio Button Test","chromium","Tue Feb 10 10:21:09 UTC 2026","passed","Tue Feb 10 10:21:11 UTC 2026","Elements Suite: Radio Button Tests","Elements_demoQa/radio_button.spec.js","",""
"","2229","Text Box Test","chromium","Tue Feb 10 10:21:11 UTC 2026","passed","Tue Feb 10 10:21:13 UTC 2026","Elements Suite: Text_Box","Elements_demoQa/text_box.spec.js","",""
"","7143","Test case","chromium","Tue Feb 10 10:23:09 UTC 2026","passed","Tue Feb 10 10:23:16 UTC 2026","Test suite","widgets_/progress_bar.spec.js","",""
"","5042","Revert Droppable","chromium","Tue Feb 10 10:22:16 UTC 2026","passed","Tue Feb 10 10:22:21 UTC 2026","Test Suite : Droppable","interactions/droppable.spec.js","",""
"","2060","Browser Windows : New Tab","chromium","Tue Feb 10 10:20:29 UTC 2026","passed","Tue Feb 10 10:20:31 UTC 2026","ALerts, Frame & Windows => Test suite","alerts_frame_windows/browser_windows.spec.js","",""
"","7244","Links Functionality","chromium","Tue Feb 10 10:21:01 UTC 2026","passed","Tue Feb 10 10:21:09 UTC 2026","Elements Suite: Links Functionality","Elements_demoQa/links.spec.js","",""
"","1873","Selectable","chromium","Tue Feb 10 10:22:45 UTC 2026","passed","Tue Feb 10 10:22:47 UTC 2026","Test Suite : Selectable","interactions/selectable.spec.js","",""
"","4367","Sortable List","chromium","Tue Feb 10 10:22:49 UTC 2026","passed","Tue Feb 10 10:22:53 UTC 2026","Test Suite : Sortable","interactions/sortable.spec.js","",""
"","2059","Frames","chromium","Tue Feb 10 10:20:35 UTC 2026","passed","Tue Feb 10 10:20:37 UTC 2026","Test suite : Frames","alerts_frame_windows/frames.spec.js","",""
"","2684","Multiple Color","chromium","Tue Feb 10 10:22:58 UTC 2026","passed","Tue Feb 10 10:23:00 UTC 2026","Test suite : Auto Complete","widgets_/auto_complete.spec.js","",""
