"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","12871","Valid Image - Broken Image Tests","chromium","2026-01-07","passed","2026-01-07","Elements Suite: Links Functionality","Elements_demoQa\broken_links_images.spec.js","",""
"","15208","Prevent Propogation Droppable","chromium","2026-01-07","passed","2026-01-07","Test Suite : Droppable","interactions\droppable.spec.js","",""
"","13905","Revert Droppable","chromium","2026-01-07","passed","2026-01-07","Test Suite : Droppable","interactions\droppable.spec.js","",""
"","14234","Confirm Alert","chromium","2026-01-07","passed","2026-01-07","Alerts => Test Suite","alerts_frame_windows\alerts.spec.js","",""
"","13328","Simple Droppable","chromium","2026-01-07","passed","2026-01-07","Test Suite : Droppable","interactions\droppable.spec.js","",""
"","12804","Text Box Test","chromium","2026-01-07","passed","2026-01-07","Elements Suite: Text_Box","Elements_demoQa\text_box.spec.js","",""
"","12012","Dynamic Properties Functionality","chromium","2026-01-07","passed","2026-01-07","Elements Suite: Dynamic Properties Functionality","Elements_demoQa\dynamic_properties.spec.js","",""
"","32943","Links Functionality","chromium","2026-01-07","broken","2026-01-07","Elements Suite: Links Functionality","Elements_demoQa\links.spec.js","",""
"","21142","Tool Tips","chromium","2026-01-07","passed","2026-01-07","Test Suite : Tool Tips","widgets_\tool_tips.spec.js","",""
"","11978","Frames","chromium","2026-01-07","passed","2026-01-07","Test suite : Frames","alerts_frame_windows\frames.spec.js","",""
"","11100","Simple Alert","chromium","2026-01-07","passed","2026-01-07","Alerts => Test Suite","alerts_frame_windows\alerts.spec.js","",""
"","13621","Accept Droppable","chromium","2026-01-07","passed","2026-01-07","Test Suite : Droppable","interactions\droppable.spec.js","",""
"","13656","Menu","chromium","2026-01-07","passed","2026-01-07","Test suite : Menu","widgets_\menu.spec.js","",""
"","24705","Upload and Download Functionality","chromium","2026-01-07","passed","2026-01-07","Elements Suite: Upload and Download Functionality","Elements_demoQa\upload_download.spec.js","",""
"","10616","Browser Windows : New Tab","chromium","2026-01-07","passed","2026-01-07","ALerts, Frame & Windows => Test suite","alerts_frame_windows\browser_windows.spec.js","",""
"","7668","Selectable","chromium","2026-01-07","passed","2026-01-07","Test Suite : Selectable","interactions\selectable.spec.js","",""
"","20893","Test case","chromium","2026-01-07","passed","2026-01-07","Test suite : Date Picker","widgets_\date_picker.spec.js","",""
"","10970","Sortable List","chromium","2026-01-07","passed","2026-01-07","Test Suite : Sortable","interactions\sortable.spec.js","",""
"","10387","Tabs","chromium","2026-01-07","passed","2026-01-07","Test Suite : Tabs","widgets_\tabs.spec.js","",""
"","9500","Expand checkbox tree","chromium","2026-01-07","passed","2026-01-07","Elements Suite: Check_Box","Elements_demoQa\check_box.spec.js","",""
"","9567","Browser Windows : New Window","chromium","2026-01-07","passed","2026-01-07","ALerts, Frame & Windows => Test suite","alerts_frame_windows\browser_windows.spec.js","",""
"","19001","Resizeable","chromium","2026-01-07","passed","2026-01-07","Test Suite : Resizeable","interactions\resizeable.spec.js","",""
"","21316","Nested Frames","chromium","2026-01-07","passed","2026-01-07","Test suite : Nested Frames","alerts_frame_windows\nested_frames.spec.js","",""
"","11422","Timer Alert","chromium","2026-01-07","passed","2026-01-07","Alerts => Test Suite","alerts_frame_windows\alerts.spec.js","",""
"","20096","Sortable Grid","chromium","2026-01-07","passed","2026-01-07","Test Suite : Sortable","interactions\sortable.spec.js","",""
"","18809","Broken Link","chromium","2026-01-07","passed","2026-01-07","Elements Suite: Links Functionality","Elements_demoQa\broken_links_images.spec.js","",""
"","11707","Modal Dialogs","chromium","2026-01-07","passed","2026-01-07","Test suite : Modal Dialogs","alerts_frame_windows\modal_dialogs.spec.js","",""
"","12053","Web Tables","chromium","2026-01-07","passed","2026-01-07","Elements Suite: Web Tables","Elements_demoQa\web_tables.spec.js","",""
"","9703","All Button Functionalities Combined","chromium","2026-01-07","passed","2026-01-07","Elements Suite: Buttons Functionality","Elements_demoQa\buttons.spec.js","",""
"","8308","Resizeable Free","chromium","2026-01-07","passed","2026-01-07","Test Suite : Resizeable","interactions\resizeable.spec.js","",""
"","11303","Multiple Color","chromium","2026-01-07","passed","2026-01-07","Test suite : Auto Complete","widgets_\auto_complete.spec.js","",""
"","8496","Radio Button Test","chromium","2026-01-07","passed","2026-01-07","Elements Suite: Radio Button Tests","Elements_demoQa\radio_button.spec.js","",""
"","10341","Axis Restricted Draggable","chromium","2026-01-07","passed","2026-01-07","Test Suite : Draggablr","interactions\dragabble.spec.js","",""
"","11874","Browser Windows : New Window Message","chromium","2026-01-07","passed","2026-01-07","ALerts, Frame & Windows => Test suite","alerts_frame_windows\browser_windows.spec.js","",""
"","10426","Simple Draggable","chromium","2026-01-07","passed","2026-01-07","Test Suite : Draggablr","interactions\dragabble.spec.js","",""
"","10218","test","chromium","2026-01-07","passed","2026-01-07","Test Suite : Accordian","widgets_\accordian.spec.js","",""
"","14674","Test case","chromium","2026-01-07","passed","2026-01-07","Test suite","widgets_\progress_bar.spec.js","",""
"","7727","Slider","chromium","2026-01-07","passed","2026-01-07","Test suite : Slider","widgets_\slider.spec.js","",""
"","29690","Select Menu","chromium","2026-01-07","passed","2026-01-07","Test Suite : Select Menu","widgets_\select_menu.spec.js","",""
"","14148","Prompt Box Alert","chromium","2026-01-07","passed","2026-01-07","Alerts => Test Suite","alerts_frame_windows\alerts.spec.js","",""
"","12483","Valid Link","chromium","2026-01-07","passed","2026-01-07","Elements Suite: Links Functionality","Elements_demoQa\broken_links_images.spec.js","",""
"","9443","Container Restricted Draggable","chromium","2026-01-07","passed","2026-01-07","Test Suite : Draggablr","interactions\dragabble.spec.js","",""
"","10281","Student Registration Form","chromium","2026-01-07","passed","2026-01-07","Elements Suite => Form","Form_Application\form_application.spec.js","",""
"","12594","Single Color","chromium","2026-01-07","passed","2026-01-07","Test suite : Auto Complete","widgets_\auto_complete.spec.js","",""
"","9566","Cursor Style Draggable","chromium","2026-01-07","passed","2026-01-07","Test Suite : Draggablr","interactions\dragabble.spec.js","",""
